,url,streetAddress,city,state,zip,neighborhood,lat,long,bed,bath,sq_ft,type,lotSize,yearBuilt,eventDate,eventType,eventPrice,hoaPrice,hoaCurrency,hoaPeriod,stories
33,https://www.trulia.com/p/ca/san-diego/3633-indiana-st-28-san-diego-ca-92103--2079694960,3633 Indiana St #28,San Diego,CA,92103,North Park,32.74404728269,-117.14581592263,2bd,2ba,993.0,condo,0.51 acres,Built in 1981,10/11/2012,Sold,$320K,,,,1.0
34,https://www.trulia.com/p/ca/san-diego/922-barr-ave-san-diego-ca-92103--1025812951,922 Barr Ave,San Diego,CA,92103,Mission Hills,32.755821676827004,-117.17179547271002,3bd,2ba,1168.0,single-family home,2100 sqft,Built in 1925,04/20/2012,Sold,$580K,,,,
35,https://www.trulia.com/p/ca/san-diego/922-barr-ave-san-diego-ca-92103--1025812951,922 Barr Ave,San Diego,CA,92103,Mission Hills,32.755821676827004,-117.17179547271002,3bd,2ba,1168.0,single-family home,2100 sqft,Built in 1925,08/24/2011,Sold,$409K,,,,
36,https://www.trulia.com/p/ca/san-diego/3543-49-bear-dr-san-diego-ca-92103--2208161328,3543-49 Bear Dr,San Diego,CA,92103,Hillcrest,32.743135002233,-117.16831155158,8bd,6ba,3697.0,multi-family,,Built in 1931,03/10/2017,Sold,$1.35M,,,,
37,https://www.trulia.com/p/ca/san-diego/3543-49-bear-dr-san-diego-ca-92103--2208161328,3543-49 Bear Dr,San Diego,CA,92103,Hillcrest,32.743135002233,-117.16831155158,8bd,6ba,3697.0,multi-family,,Built in 1931,07/01/1999,Sold,$690K,,,,
38,https://www.trulia.com/p/ca/san-diego/4355-hermosa-way-san-diego-ca-92103--2079700469,4355 Hermosa Way,San Diego,CA,92103,Mission Hills,32.754107321736996,-117.18004993441002,5bd,4ba,4019.0,single-family home,,Built in 1980,05/19/2008,Sold,$2.15M,,,,
39,https://www.trulia.com/p/ca/san-diego/4355-hermosa-way-san-diego-ca-92103--2079700469,4355 Hermosa Way,San Diego,CA,92103,Mission Hills,32.754107321736996,-117.18004993441002,5bd,4ba,4019.0,single-family home,,Built in 1980,08/01/2005,Sold,$2.02M,,,,
40,https://www.trulia.com/p/ca/san-diego/4355-hermosa-way-san-diego-ca-92103--2079700469,4355 Hermosa Way,San Diego,CA,92103,Mission Hills,32.754107321736996,-117.18004993441002,5bd,4ba,4019.0,single-family home,,Built in 1980,07/19/2002,Sold,$810K,,,,
41,https://www.trulia.com/p/ca/san-diego/3812-park-blvd-510-san-diego-ca-92103--2079696695,3812 Park Blvd #510,San Diego,CA,92103,Hillcrest,32.747970548779996,-117.14670562669,2bd,2ba,1556.0,condo,0.76 acres,Built in 2005,02/28/2011,Sold,$420K,,,,
42,https://www.trulia.com/p/ca/san-diego/3812-park-blvd-510-san-diego-ca-92103--2079696695,3812 Park Blvd #510,San Diego,CA,92103,Hillcrest,32.747970548779996,-117.14670562669,2bd,2ba,1556.0,condo,0.76 acres,Built in 2005,06/27/2006,Sold,$810K,,,,
43,https://www.trulia.com/p/ca/san-diego/3812-park-blvd-510-san-diego-ca-92103--2079696695,3812 Park Blvd #510,San Diego,CA,92103,Hillcrest,32.747970548779996,-117.14670562669,2bd,2ba,1556.0,condo,0.76 acres,Built in 2005,10/20/2005,Sold,$785K,,,,
44,https://www.trulia.com/p/ca/san-diego/3812-park-blvd-510-san-diego-ca-92103--2079696695,3812 Park Blvd #510,San Diego,CA,92103,Hillcrest,32.747970548779996,-117.14670562669,2bd,2ba,1556.0,condo,0.76 acres,Built in 2005,07/29/2005,Sold,$778K,,,,
45,https://www.trulia.com/p/ca/san-diego/1732-34-myrtle-ave-san-diego-ca-92103--2208152450,1732-34 Myrtle Ave,San Diego,CA,92103,North Park,32.742417730753004,-117.14652596998998,4bd,3ba,2264.0,multi-family,,Built in 1947,04/18/2008,Sold,$1.03M,,,,
46,https://www.trulia.com/p/ca/san-diego/350-nutmeg-st-105-san-diego-ca-92103--2079694105,350 Nutmeg St #105,San Diego,CA,92103,Park West,32.733817553908,-117.16167337283999,3bd,3ba,1763.0,condo,,Built in 2004,09/27/2004,Sold,$625K,,,,
47,https://www.trulia.com/p/ca/san-diego/1115-hunter-st-san-diego-ca-92103--2079688892,1115 Hunter St,San Diego,CA,92103,Mission Hills,32.754499760586,-117.17362164228999,2bd,2ba,984.0,single-family home,,Built in 1925,11/05/1996,Sold,$255K,,,,
48,https://www.trulia.com/p/ca/san-diego/1740-upas-st-23-san-diego-ca-92103--2079690739,1740 Upas St #23,San Diego,CA,92103,North Park,32.741489874699,-117.14636337575001,1bd,1ba,576.0,condo,,Built in 1980,05/02/1994,Sold,$79K,,,,
49,https://www.trulia.com/p/ca/san-diego/1295-terracina-ln-san-diego-ca-92103--2079689725,1295 Terracina Ln,San Diego,CA,92103,Midtown,32.736804313687,-117.17416838357,2bd,2ba,1032.0,condo,0.52 acres,Built in 2003,04/20/2012,Sold,$307K,,,,
50,https://www.trulia.com/p/ca/san-diego/1295-terracina-ln-san-diego-ca-92103--2079689725,1295 Terracina Ln,San Diego,CA,92103,Midtown,32.736804313687,-117.17416838357,2bd,2ba,1032.0,condo,0.52 acres,Built in 2003,11/26/2003,Sold,$376K,,,,
51,https://www.trulia.com/p/ca/san-diego/2725-barnson-pl-san-diego-ca-92103--2079691904,2725 Barnson Pl,San Diego,CA,92103,Park West,32.73375023804,-117.16609967483,4bd,5ba,2265.0,single-family home,0.31 acres,Built in 1960,03/29/2018,Sold,$1.38M,,,,2.0
52,https://www.trulia.com/p/ca/san-diego/2725-barnson-pl-san-diego-ca-92103--2079691904,2725 Barnson Pl,San Diego,CA,92103,Park West,32.73375023804,-117.16609967483,4bd,5ba,2265.0,single-family home,0.31 acres,Built in 1960,10/16/2013,Sold,$1.25M,,,,2.0
53,https://www.trulia.com/p/ca/san-diego/2725-barnson-pl-san-diego-ca-92103--2079691904,2725 Barnson Pl,San Diego,CA,92103,Park West,32.73375023804,-117.16609967483,4bd,5ba,2265.0,single-family home,0.31 acres,Built in 1960,02/28/1997,Sold,$450K,,,,2.0
54,https://www.trulia.com/p/ca/san-diego/4468-hortensia-st-san-diego-ca-92103--2079700664,4468 Hortensia St,San Diego,CA,92103,Mission Hills,32.756203271601,-117.18477788525,3bd,2ba,1894.0,single-family home,3900 sqft,Built in 1953,07/08/2014,Sold,$1.23M,,,,
55,https://www.trulia.com/p/ca/san-diego/4468-hortensia-st-san-diego-ca-92103--2079700664,4468 Hortensia St,San Diego,CA,92103,Mission Hills,32.756203271601,-117.18477788525,3bd,2ba,1894.0,single-family home,3900 sqft,Built in 1953,04/18/2000,Sold,$550K,,,,
56,https://www.trulia.com/p/ca/san-diego/4468-hortensia-st-san-diego-ca-92103--2079700664,4468 Hortensia St,San Diego,CA,92103,Mission Hills,32.756203271601,-117.18477788525,3bd,2ba,1894.0,single-family home,3900 sqft,Built in 1953,04/11/1997,Sold,$296K,,,,
57,https://www.trulia.com/p/ca/san-diego/906-hayes-ave-san-diego-ca-92103--2079701313,906 Hayes Ave,San Diego,CA,92103,University Heights,32.753487037228,-117.15654970303001,2bd,3ba,1912.0,single-family home,0.47 acres,Built in 1938,04/07/2008,Sold,$820K,,,,
58,https://www.trulia.com/p/ca/san-diego/906-hayes-ave-san-diego-ca-92103--2079701313,906 Hayes Ave,San Diego,CA,92103,University Heights,32.753487037228,-117.15654970303001,2bd,3ba,1912.0,single-family home,0.47 acres,Built in 1938,02/09/1995,Sold,$210K,,,,
59,https://www.trulia.com/p/ca/san-diego/3910-henry-st-san-diego-ca-92103--1001910886,3910 Henry St,San Diego,CA,92103,Mission Hills,32.747803041828,-117.18456334113998,4bd,6ba,4057.0,single-family home,0.41 acres,Built in 1945,11/30/2011,Sold,$1.2M,,,,
60,https://www.trulia.com/p/ca/san-diego/1424-brookes-ave-san-diego-ca-92103--1010750712,1424 Brookes Ave,San Diego,CA,92103,Hillcrest,32.743533477373,-117.15061343376999,3bd,2ba,1400.0,single-family home,4270 sqft,Built in 1968,10/17/2019,Sold,$895K,,,,1.0
61,https://www.trulia.com/p/ca/san-diego/1424-brookes-ave-san-diego-ca-92103--1010750712,1424 Brookes Ave,San Diego,CA,92103,Hillcrest,32.743533477373,-117.15061343376999,3bd,2ba,1400.0,single-family home,4270 sqft,Built in 1968,07/28/2010,Sold,$599K,,,,1.0
