https://www.trulia.com/p/ca/san-diego/1738-friedrick-dr-san-diego-ca-92104--2079701469,1738 Friedrick Dr,San Diego,CA,92104,North Park,32.724053406842,-117.11977179825,3bd,1ba,1553,single-family home,8600 sqft,Built in 1956,06/04/2018,Sold,$799K,,,,1
https://www.trulia.com/p/ca/san-diego/1738-friedrick-dr-san-diego-ca-92104--2079701469,1738 Friedrick Dr,San Diego,CA,92104,North Park,32.724053406842,-117.11977179825,3bd,1ba,1553,single-family home,8600 sqft,Built in 1956,07/25/2016,Sold,$779K,,,,1
https://www.trulia.com/p/ca/san-diego/1738-friedrick-dr-san-diego-ca-92104--2079701469,1738 Friedrick Dr,San Diego,CA,92104,North Park,32.724053406842,-117.11977179825,3bd,1ba,1553,single-family home,8600 sqft,Built in 1956,02/26/2014,Sold,$685K,,,,1
https://www.trulia.com/p/ca/san-diego/1738-friedrick-dr-san-diego-ca-92104--2079701469,1738 Friedrick Dr,San Diego,CA,92104,North Park,32.724053406842,-117.11977179825,3bd,1ba,1553,single-family home,8600 sqft,Built in 1956,03/04/2010,Sold,$570K,,,,1
https://www.trulia.com/p/ca/san-diego/1738-friedrick-dr-san-diego-ca-92104--2079701469,1738 Friedrick Dr,San Diego,CA,92104,North Park,32.724053406842,-117.11977179825,3bd,1ba,1553,single-family home,8600 sqft,Built in 1956,08/15/2006,Sold,$603K,,,,1
https://www.trulia.com/p/ca/san-diego/3681-grim-ave-4-san-diego-ca-92104--2079709595,3681 Grim Ave #4,San Diego,CA,92104,North Park,32.745239367866,-117.12792545313,3bd,2ba,1225,condo,6147 sqft,Built in 1985,07/05/2016,Sold,$5M,,,,2
https://www.trulia.com/p/ca/san-diego/3681-grim-ave-4-san-diego-ca-92104--2079709595,3681 Grim Ave #4,San Diego,CA,92104,North Park,32.745239367866,-117.12792545313,3bd,2ba,1225,condo,6147 sqft,Built in 1985,06/23/2006,Sold,$425K,,,,2
https://www.trulia.com/p/ca/san-diego/3677-nile-st-san-diego-ca-92104--2079709560,3677 Nile St,San Diego,CA,92104,North Park,32.745099147918,-117.1205109415,2bd,2ba,1092,single-family home,,Built in 1955,12/27/1999,Sold,$149K,,,,
https://www.trulia.com/p/ca/san-diego/2828-university-ave-206-san-diego-ca-92104--2079703858,2828 University Ave #206,San Diego,CA,92104,North Park,32.748778446387,-117.13298043157,3bd,2ba,1164,condo,0.48 acres,Built in 1997,03/21/2019,Sold,$470K,,,,1
https://www.trulia.com/p/ca/san-diego/2828-university-ave-206-san-diego-ca-92104--2079703858,2828 University Ave #206,San Diego,CA,92104,North Park,32.748778446387,-117.13298043157,3bd,2ba,1164,condo,0.48 acres,Built in 1997,11/06/2014,Sold,$359K,,,,1
https://www.trulia.com/p/ca/san-diego/4120-kansas-st-9-san-diego-ca-92104--2079713860,4120 Kansas St #9,San Diego,CA,92104,North Park,32.752742119387,-117.13175868066,1bd,1ba,569,condo,0.36 acres,Built in 1958,09/11/2015,Sold,$225K,,,,2
https://www.trulia.com/p/ca/san-diego/4120-kansas-st-9-san-diego-ca-92104--2079713860,4120 Kansas St #9,San Diego,CA,92104,North Park,32.752742119387,-117.13175868066,1bd,1ba,569,condo,0.36 acres,Built in 1958,05/29/2014,Sold,$199K,,,,2
https://www.trulia.com/p/ca/san-diego/4120-kansas-st-9-san-diego-ca-92104--2079713860,4120 Kansas St #9,San Diego,CA,92104,North Park,32.752742119387,-117.13175868066,1bd,1ba,569,condo,0.36 acres,Built in 1958,04/24/2009,Sold,$62K,,,,2
https://www.trulia.com/p/ca/san-diego/4120-kansas-st-9-san-diego-ca-92104--2079713860,4120 Kansas St #9,San Diego,CA,92104,North Park,32.752742119387,-117.13175868066,1bd,1ba,569,condo,0.36 acres,Built in 1958,08/26/2008,Sold,$203K,,,,2
https://www.trulia.com/p/ca/san-diego/4120-kansas-st-9-san-diego-ca-92104--2079713860,4120 Kansas St #9,San Diego,CA,92104,North Park,32.752742119387,-117.13175868066,1bd,1ba,569,condo,0.36 acres,Built in 1958,08/11/2008,Sold,$172K,,,,2
https://www.trulia.com/p/ca/san-diego/4120-kansas-st-9-san-diego-ca-92104--2079713860,4120 Kansas St #9,San Diego,CA,92104,North Park,32.752742119387,-117.13175868066,1bd,1ba,569,condo,0.36 acres,Built in 1958,08/17/2007,Sold,$240K,,,,2
https://www.trulia.com/p/ca/san-diego/2635-montclair-st-san-diego-ca-92104--2079703440,2635 Montclair St,San Diego,CA,92104,North Park,32.733745935897,-117.11652759119,2bd,1ba,978,single-family home,6000 sqft,Built in 1926,11/14/2018,Sold,$707K,,,,
https://www.trulia.com/p/ca/san-diego/4040-alabama-st-3-san-diego-ca-92104--2079713031,4040 Alabama St #3,San Diego,CA,92104,University Heights,32.751092794055,-117.14286941787,2bd,1ba,726,condo,6974 sqft,Built in 1982,03/24/2016,Sold,$318K,,,,
https://www.trulia.com/p/ca/san-diego/4040-alabama-st-3-san-diego-ca-92104--2079713031,4040 Alabama St #3,San Diego,CA,92104,University Heights,32.751092794055,-117.14286941787,2bd,1ba,726,condo,6974 sqft,Built in 1982,01/04/2005,Sold,$313K,,,,
https://www.trulia.com/p/ca/san-diego/4040-alabama-st-3-san-diego-ca-92104--2079713031,4040 Alabama St #3,San Diego,CA,92104,University Heights,32.751092794055,-117.14286941787,2bd,1ba,726,condo,6974 sqft,Built in 1982,05/21/1999,Sold,$51.5K,,,,
https://www.trulia.com/p/ca/san-diego/3235-marlton-dr-san-diego-ca-92104--2079706005,3235 Marlton Dr,San Diego,CA,92104,South Park,32.727064193763,-117.12478930905,4bd,3ba,2366,single-family home,5100 sqft,Built in 1995,12/18/2017,Sold,$1.21M,,,,2
